model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_001,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_002,0.5,50,4,50,0,0.08,0.1551,0.2255,0.2914,0.353,0.4105,0.4641,0.514,0.5603,0.6032,0.6429,0.6795,0.7132,0.7442,0.7726,0.7986,0.8223,0.8439,0.8634,0.881
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_003,0.5,50,41,50,0,0.82,0.9706,0.9957,0.9995,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_004,0.5,50,24,50,0,0.48,0.7347,0.8673,0.9351,0.969,0.9855,0.9934,0.9971,0.9988,0.9995,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_005,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_006,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_007,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_008,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_009,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_010,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_011,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_012,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_013,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_014,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_015,0.5,50,46,50,0,0.92,0.9951,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_016,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_017,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_018,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_019,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_020,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_021,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_022,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_023,0.5,50,4,50,0,0.08,0.1551,0.2255,0.2914,0.353,0.4105,0.4641,0.514,0.5603,0.6032,0.6429,0.6795,0.7132,0.7442,0.7726,0.7986,0.8223,0.8439,0.8634,0.881
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_024,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_025,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_026,0.5,50,40,50,0,0.8,0.9633,0.9939,0.9991,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_027,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_028,0.5,50,10,50,0,0.2,0.3633,0.4959,0.6032,0.6894,0.7585,0.8133,0.8568,0.8909,0.9175,0.9381,0.954,0.9661,0.9753,0.9821,0.9872,0.991,0.9937,0.9957,0.9971
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_029,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_030,0.5,50,30,50,0,0.6,0.8449,0.9418,0.979,0.9927,0.9976,0.9992,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_031,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_032,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_033,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_034,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_035,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_036,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_037,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_038,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_039,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_040,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_041,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_042,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_043,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_044,0.5,50,50,50,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_045,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_046,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_047,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_048,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_049,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_050,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.3-70B-Instruct,m2_051,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
